player,total_games,shots_made,total_shots,shooting%,2pt_made,2pt_attempts,2pt%,3pt_made,3pt_attempts,3pt%,FT_made,FT_Attempts,FT%,total_assists,total_blocks,off_rebound,is_clutch,years_played,clutch_years
A.J. Price,16,11,28,39.29,8,18,44.44,3,10,30.0,3,3,100.0,3,2,1,0.0,4,0.0
Aaron Brooks,109,58,174,33.33,41,103,39.81,17,71,23.94,91,111,81.98,12,19,8,0.0,9,1.0
Aaron Gordon,34,13,32,40.62,8,17,47.06,5,15,33.33,16,19,84.21,9,2,10,0.0,4,0.0
Aaron Gray,14,4,6,66.67,4,6,66.67,0,0,0.0,6,11,54.55,2,0,8,0.0,6,0.0
Aaron Harrison,2,0,2,0.0,0,0,0.0,0,2,0.0,2,3,66.67,0,0,0,0.0,1,0.0
Aaron McKie,7,0,3,0.0,0,2,0.0,0,1,0.0,0,0,0.0,0,1,5,0.0,1,0.0
Aaron Williams,1,1,2,50.0,1,2,50.0,0,0,0.0,0,0,0.0,1,1,0,0.0,1,0.0
Abdel Nader,1,1,1,100.0,1,1,100.0,0,0,0.0,0,0,0.0,1,0,0,0.0,1,0.0
Acie Law,3,1,3,33.33,1,3,33.33,0,0,0.0,0,0,0.0,0,2,0,0.0,3,0.0
Adam Morrison,19,8,28,28.57,5,14,35.71,3,14,21.43,2,4,50.0,2,0,1,0.0,2,0.0
Adonal Foyle,21,7,17,41.18,7,17,41.18,0,0,0.0,4,8,50.0,6,1,13,0.0,3,0.0
Adreian Payne,1,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0,0.0,1,0.0
Adrian Griffin,15,3,6,50.0,2,5,40.0,1,1,100.0,1,10,10.0,3,0,4,0.0,3,0.0
Al Harrington,143,73,204,35.78,61,134,45.52,12,70,17.14,71,103,68.93,32,11,36,0.0,10,2.0
Al Horford,186,101,195,51.79,93,171,54.39,8,24,33.33,88,123,71.54,81,11,54,1.0,11,6.0
Al Jefferson,202,178,370,48.11,175,361,48.48,3,9,33.33,79,117,67.52,90,22,80,1.0,12,8.0
Al Thornton,45,21,51,41.18,17,43,39.53,4,8,50.0,33,48,68.75,11,8,13,0.0,4,0.0
Al-Farouq Aminu,83,24,64,37.5,14,34,41.18,10,30,33.33,23,34,67.65,19,2,21,0.0,8,1.0
Alan Anderson,37,21,53,39.62,13,30,43.33,8,23,34.78,20,23,86.96,16,4,4,0.0,5,1.0
Alan Henderson,5,0,3,0.0,0,3,0.0,0,0,0.0,0,0,0.0,0,2,4,0.0,2,0.0
Alan Williams,3,1,2,50.0,1,2,50.0,0,0,0.0,1,3,33.33,0,0,4,0.0,1,0.0
Alec Burks,50,29,65,44.62,25,54,46.3,4,11,36.36,33,39,84.62,10,6,8,1.0,7,1.0
Alex Abrines,11,6,12,50.0,0,2,0.0,6,10,60.0,2,3,66.67,6,0,3,0.0,2,0.0
Alex Caruso,1,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0.0,1,0.0
Alex Len,26,4,9,44.44,4,9,44.44,0,0,0.0,7,9,77.78,2,2,12,0.0,5,0.0
